OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Verified_Coordinates,Coordinates_Match,Latitude_err,Longitude_err
147,2016,NonResidential,Hospital,Swedish Ballard,5300 Tallman Ave NW,Seattle,WA,98107.0,2767703875,6,BALLARD,47.66737,-122.37956,1954,4.0,5,285333,0,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),302661.0,Parking,148865.0,14.0,225.0,157.3000031,479.5,251.8000031,68090728.0,47602720.0,0.0,10327434.0,35237205.0,328535.125,32853512.0,False,Compliant,1990.5,6.98,"(47.66841, -122.38049)",False,0.0010400000000032605,-0.0009299999999967667
148,2016,SPS-District K-12,K-12 School,West Woodland Elementary,5601 4th Ave. N.W.,Seattle,WA,98107.0,2768000375,6,Ballard,47.6706,-122.36225,1991,1.0,2,55513,0,55513,K-12 School,K-12 School,59097.0,,,93.0,25.60000038,27.10000038,80.40000153,85.0,1513570.75,1598852.625,0.0,443602.1875,1513571.0,0.0,0.0,True,Error - Correct Default Data,10.55,0.19,"(47.60383, -122.33006)",False,-0.06676999999999822,0.03218999999999994
163,2016,Nonresidential COS,Other,Fire Station 10/FAC/EOC,105 5th Ave S,Seattle,WA,98104.0,5247801465,2,DOWNTOWN,47.60112,-122.32785,2006,1.0,4,61156,0,61156,"Office, Other",Other,42755.0,Office,29219.0,,130.1000061,132.6999969,338.2999878,337.1000061,9363374.0,9550716.0,0.0,2036128.25,6947270.0,24161.04102,2416104.0,False,Compliant,176.75,2.89,"(47.60123, -122.32803)",False,0.00010999999999938836,-0.00018000000000029104
167,2016,NonResidential,Other,Wing Luke Museum,719 South King Street,Seattle,WA,98104.0,5247802715,2,DOWNTOWN,47.59809,-122.32283,1910,1.0,4,72820,13820,59000,Museum,Museum,58000.0,,,,34.70000076,36.09999847,83.69999695,85.19999695,2010454.625,2095175.25,0.0,384428.3125,1311669.0,6987.850098,698785.0,False,Compliant,46.26,0.64,"(47.59825, -122.32287)",False,0.0001600000000010482,-3.999999999848569e-05
168,2016,NonResidential,Hotel,Hampton Inn Seattle Center,700 5th Ave N.,Seattle,WA,98109.0,5458300285,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1996,1.0,4,162222,14200,148022,"Hotel, Parking",Hotel,113702.0,Parking,32692.0,76.0,69.90000153,70.5,150.5,151.1999969,7946961.0,8016521.0,0.0,1230205.625,4197462.0,37494.98828,3749499.0,False,Compliant,228.4,1.41,"(47.62583, -122.34655)",False,-0.00030999999999892225,0.00015000000000497948
169,2016,SPS-District K-12,K-12 School,Franklin High,3013 S. Mt. Baker Blvd.,Seattle,WA,98144.0,5700000455,2,SOUTHEAST,47.57589,-122.29365,1990,1.0,4,289588,0,289588,K-12 School,K-12 School,289588.0,,,90.0,30.5,33.0,78.5,82.30000305,8819852.0,9542598.0,0.0,1890317.75,6449764.0,23700.86328,2370086.0,True,Error - Correct Default Data,170.84,0.59,"(47.57642, -122.29417)",False,0.000529999999997699,-0.0005199999999945248
170,2016,NonResidential,University,SCCC FINE ARTS BUILDING,801 E PINE ST,Seattle,WA,98122.0,6003000470,3,EAST,47.61495,-122.32177,1915,1.0,3,63330,0,63330,College/University,College/University,64820.0,,,,47.20000076,50.70000076,111.1999969,116.0,3059758.0,3284214.5,0.0,560100.6875,1911064.0,11486.94043,1148694.0,False,Compliant,74.33,1.17,"(47.61496, -122.32176)",False,1.0000000003174137e-05,1.0000000003174137e-05
172,2016,Campus,University,SSCC MAIN CAMPUS,6000 16th Ave SW,Seattle,WA,98106.0,6171900005,1,DELRIDGE,47.547,-122.35307,1970,27.0,2,441071,0,441071,College/University,College/University,483000.0,,,,79.30000305,85.19999695,192.8000031,202.6000061,38301744.0,41151732.0,0.0,7419277.5,25314575.0,129871.6641,12987166.0,False,Compliant,866.23,1.96,"(47.55263, -122.35271)",False,0.005630000000003577,0.0003600000000005821
173,2016,NonResidential,Small- and Mid-Sized Office,Seattle Children's Hospital 70th/Sand Point Way Administrative Offices,6901Sand Point Way NE,Seattle,WA,98115.0,6418100005,4,NORTHEAST,47.67828,-122.26456,2002,1.0,2,96300,0,96300,"Data Center, Office",Office,92300.0,Data Center,4944.0,,167.8000031,167.3999939,476.5,471.1000061,16319835.0,16274449.0,0.0,4095456.0,13973696.0,23461.37109,2346137.0,False,Compliant,222.02,2.31,,False,,
174,2016,Nonresidential COS,Other,CSC Vehicle Maintenance (E),805 S Charles St,Seattle,WA,98134.0,6834700175,2,GREATER DUWAMISH,47.59545,-122.32146,1950,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,,,109.4000015,118.3000031,242.6999969,252.1000061,7475577.5,8086930.5,0.0,1225674.375,4182001.0,32935.76172,3293576.0,False,Compliant,204.08,3.03,"(47.59457, -122.3218)",False,-0.0008800000000022123,-0.0003399999999942338
175,2016,SPS-District K-12,K-12 School,Garfield High,400 23rd Ave.,Seattle,WA,98122.0,6840701230,3,CENTRAL,47.60598,-122.30156,2008,1.0,3,254523,0,254523,K-12 School,K-12 School,254523.0,,,60.0,53.29999924,58.20000076,120.3000031,126.3000031,13567774.0,14810159.0,0.0,2296326.25,7835065.0,57327.08203,5732708.0,True,Error - Correct Default Data,359.09,1.41,"(47.60501, -122.30176)",False,-0.0009700000000023579,-0.0002000000000066393
176,2016,SPS-District K-12,K-12 School,Emerson Elementary,9709 60th Ave. S.,Seattle,WA,98118.0,7129302300,2,SOUTHEAST,47.51482,-122.25864,2001,1.0,3,78804,0,78804,K-12 School,K-12 School,78804.0,,,92.0,31.70000076,34.0,76.90000153,79.30000305,2499140.0,2677620.75,0.0,482184.6875,1645214.0,8539.256836,853926.0,True,Error - Correct Default Data,56.82,0.72,"(47.51479, -122.25886)",False,-3.0000000002416982e-05,-0.00021999999999877673
177,2016,SPS-District K-12,K-12 School,Madrona K-8,1121 33rd Ave.,Seattle,WA,98122.0,7152200350,3,CENTRAL,47.61224,-122.29087,2002,1.0,3,66994,0,66994,K-12 School,K-12 School,66994.0,,,79.0,35.40000153,38.5,94.09999847,99.59999847,2371304.5,2579774.5,0.0,534831.5,1824845.0,5464.591797,546459.0,True,Error - Correct Default Data,41.74,0.62,"(47.61285, -122.29114)",False,0.0006100000000017758,-0.00027000000000043656
178,2016,SPS-District K-12,K-12 School,Van Asselt Elementary,8311 Beacon Ave S,Seattle,WA,98118.0,7243500230,2,GREATER DUWAMISH,47.52915,-122.28904,2000,1.0,3,98357,0,98357,K-12 School,K-12 School,98357.0,,,88.0,35.09999847,38.5,77.80000305,81.30000305,3456131.5,3783580.25,0.0,564791.125,1927067.0,15290.64063,1529064.0,True,Error - Correct Default Data,94.64,0.96,"(47.52876, -122.28873)",False,-0.00039000000000299906,0.00030999999999892225
179,2016,NonResidential,Small- and Mid-Sized Office,Seattle's Union Gospel Mission - Admin,3800 S Othello St,Seattle,WA,98118.0,7378600265,2,GREATER DUWAMISH,47.53827,-122.28406,1958,1.0,1,54765,0,54765,"Office, Other",Office,25765.0,Other,25000.0,,83.80000305,88.69999695,234.8999939,243.5,4253369.5,4503671.5,0.0,1046112.813,3569337.0,6840.320313,684032.0,False,Compliant,61.21,1.12,"(47.53827, -122.28404)",False,0.0,1.9999999992137418e-05
180,2016,NonResidential,Other,Hope Place,3802 S Othello St,Seattle,WA,98118.0,7378600265,2,GREATER DUWAMISH,47.53722,-122.284,2009,1.0,5,89821,0,89821,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,46483.0,Office,37938.0,,21.89999962,25.0,24.60000038,27.89999962,1950092.5,2220796.5,0.0,19771.90039,67462.0,18826.30859,1882631.0,False,Compliant,100.46,1.12,"(47.53742, -122.28392)",False,0.00019999999999953388,8.000000001118224e-05
182,2016,NonResidential,University,Otto Miller Hall,3469 3rd Ave. W,Seattle,WA,98119.0,7443000070,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1980,1.0,2,52611,0,52611,College/University,College/University,52611.0,,,,78.30000305,83.40000153,180.6999969,186.1000061,4116871.5,4390158.0,0.0,726633.375,2479273.0,16375.97852,1637598.0,False,Compliant,104.26,1.98,"(47.65145, -122.3614)",False,-2.0000000006348273e-05,-0.00018000000000029104
183,2016,NonResidential,Residence Hall,Emerson Hall,500 W. Emerson,Seattle,WA,98119.0,7443000375,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,2001,1.0,4,139600,37500,102100,Residence Hall/Dormitory,Residence Hall/Dormitory,135520.0,,,89.0,32.79999924,35.40000153,70.19999695,74.69999695,4448582.5,4800620.5,0.0,678868.1875,2316298.0,21322.83984,2132284.0,False,Compliant,129.39,0.93,"(47.65088, -122.36361)",False,0.00019999999999953388,-0.0002999999999957481
185,2016,SPS-District K-12,K-12 School,Nathan Hale High,17050 30th Ave. N.E.,Seattle,WA,98125.0,2826049152,5,NORTH,47.70763,-122.29453,2011,1.0,2,236758,0,236758,"K-12 School, Parking",K-12 School,238550.0,Parking,0.0,96.0,35.0,38.90000153,78.69999695,84.40000153,8355988.5,9287467.0,0.0,1403853.5,4789948.0,35660.39453,3566039.0,False,Compliant,222.78,0.94,,False,,
187,2016,NonResidential,Other,Youth Services Center,1211 E Alder Street,Seattle,WA,98122.0,2908700085,3,CENTRAL,47.60462,-122.31549,1971,3.0,6,250981,0,250981,"Courthouse, Other",Other,137565.0,Courthouse,78357.0,,60.5,65.69999695,145.6000061,151.8000031,13071700.0,14196194.0,4336524.5,2390094.5,8155002.0,5801.719727,580172.0,False,Compliant,422.39,1.68,"(47.6048, -122.31559)",False,0.00018000000000029104,-0.00010000000000331966
189,2016,SPS-District K-12,K-12 School,Greenwood Elementary,144 N.W. 80th St.,Seattle,WA,98117.0,2919200635,6,NORTHWEST,47.68725,-122.35996,2002,1.0,3,62526,0,62526,K-12 School,K-12 School,62526.0,,,96.0,31.79999924,35.09999847,70.59999847,75.30000305,1986094.875,2192411.0,0.0,326608.6875,1114389.0,8717.058594,871706.0,True,Error - Correct Default Data,54.07,0.86,"(47.60383, -122.33006)",False,-0.08341999999999672,0.029899999999997817
338,2016,NonResidential,Other,Jack R. McDonald Building,1900 9th Ave.,Seattle,WA,98101.0,660001215,7,DOWNTOWN,47.61598,-122.33448,2004,1.0,11,299070,68432,230638,Other,Other,250000.0,,,,261.2999878,264.0,530.7000122,532.2999878,65336980.0,66000296.0,0.0,8983483.0,30651644.0,346853.3125,34685331.0,False,Compliant,2055.82,6.87,"(47.6161, -122.3347)",False,0.0001200000000025625,-0.00021999999999877673
190,2016,NonResidential,Small- and Mid-Sized Office,Emerald Services,7343 E Marginal Way S,Seattle,WA,98108.0,2924049043,2,GREATER DUWAMISH,47.536,-122.31768,2007,1.0,3,64015,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",Office,30000.0,Non-Refrigerated Warehouse,15000.0,21.0,60.0,62.5,165.8000031,168.3999939,3242077.75,3375016.25,0.0,778834.0,2657382.0,5846.959961,584696.0,False,Compliant,49.58,0.77,"(47.53603, -122.31725)",False,2.9999999995311555e-05,0.0004299999999943793
194,2016,NonResidential,Retail Store,Northgate Mall,401 Northgate Way,Seattle,WA,98125.0,2926049025,5,NORTH,47.70759,-122.3255,1951,1.0,1,530039,0,530039,"Restaurant, Retail Store",Retail Store,505103.0,Restaurant,24936.0,98.0,52.29999924,54.29999924,118.9000015,121.0,27717034.0,28763498.0,0.0,4755137.5,16224529.0,114925.0313,11492503.0,False,Compliant,723.47,1.36,"(47.70798, -122.32615)",False,0.00038999999999589363,-0.000649999999993156
195,2016,NonResidential,Other,Seattle-Northgate,10631 8th Ave NE,Seattle,WA,98125.0,2926049409,5,NORTH,47.7066,-122.321,1964,1.0,3,54224,0,54224,Other/Specialty Hospital,Other/Specialty Hospital,47012.0,,,,154.5,163.1000061,311.0,321.0,7265178.0,7668810.0,0.0,980312.8125,3344827.0,39203.50391,3920350.0,False,Compliant,231.53,4.27,"(47.70656, -122.32147)",False,-3.999999999848569e-05,-0.00047000000000707587
197,2016,NonResidential,Retail Store,Nordstrom Northgate 002,401 NE Northgate Way,Seattle,WA,98125.0,2926049528,5,NORTH,47.70619,-122.32586,1965,1.0,4,124342,0,124342,Retail Store,Retail Store,122000.0,,,76.0,71.90000153,71.59999847,223.6999969,222.1000061,8765978.0,8729918.0,0.0,2536231.25,8653621.0,1123.560059,112356.0,False,Compliant,66.3,0.53,"(47.70798, -122.32615)",False,0.0017899999999997362,-0.000289999999992574
198,2016,NonResidential,Hospital,Seattle Children's Hospital Main Campus,4800 Sand Point Way NE,Seattle,WA,98105.0,2982800005,4,NORTHEAST,47.66231,-122.28146,1953,6.0,10,879000,0,879000,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),879000.0,,,10.0,288.7999878,293.2000122,578.2000122,576.5999756,253832464.0,257764208.0,0.0,33892500.0,115641210.0,1381912.375,138191238.0,False,Compliant,8145.52,9.27,"(47.66151, -122.28021)",False,-0.0007999999999981355,0.0012499999999988631
200,2016,NonResidential,Other,Verity Credit Union,11027 Meridian N #102,Seattle,WA,98133.0,3026049024,5,NORTHWEST,47.70956,-122.3345,1996,1.0,3,55442,0,55442,"Financial Office, Medical Office, Parking",Financial Office,28636.0,Parking,15385.0,72.0,85.59999847,88.90000153,194.1000061,197.6000061,3191228.25,3313397.0,0.0,544942.8125,1859345.0,13318.83008,1331883.0,False,Compliant,83.7,1.51,"(47.7096, -122.33505)",False,3.999999999848569e-05,-0.0005499999999898364
205,2016,SPS-District K-12,K-12 School,Ballard High,1418 N.W. 65th St.,Seattle,WA,98117.0,3050700050,6,BALLARD,47.67661,-122.37489,1999,1.0,2,242795,0,242795,K-12 School,K-12 School,242795.0,,,80.0,37.70000076,40.0,107.3000031,112.3000031,9157150.0,9708318.0,0.0,2303477.0,7859464.0,12976.84766,1297685.0,True,Error - Correct Default Data,123.71,0.51,"(47.60383, -122.33006)",False,-0.07277999999999452,0.04482999999999038
209,2016,NonResidential,Self-Storage Facility,Madison Self Storage,1111 E. Madison,Seattle,WA,98122.0,3225049002,3,EAST,47.61233,-122.3171,1910,1.0,5,84870,0,84870,Self-Storage Facility,Self-Storage Facility,85521.0,,,,16.20000076,18.89999962,28.79999924,31.70000076,1381590.125,1617801.25,0.0,141452.2031,482635.0,8989.550781,898955.0,False,Compliant,51.11,0.6,"(47.61247, -122.31743)",False,0.00014000000000180535,-0.0003300000000052705
211,2016,Campus,University,NSCC MAIN CAMPUS,9600 COLLEGE WAY N,Seattle,WA,98103.0,3226049021,5,NORTHWEST,47.69936,-122.33401,1970,11.0,2,694072,111625,582447,College/University,College/University,667335.0,,,,53.79999924,56.09999847,161.1999969,167.0,35891484.0,37410800.0,0.0,9803878.0,33450832.0,24406.47852,2440648.0,False,Compliant,362.82,0.52,"(47.69871, -122.33255)",False,-0.0006500000000002615,0.0014600000000086766
212,2016,SPS-District K-12,K-12 School,Aki Kurose Middle,3928 S. Graham St.,Seattle,WA,98118.0,3332501090,2,SOUTHEAST,47.54632,-122.28198,1952,1.0,2,173185,0,173185,K-12 School,K-12 School,173185.0,,,79.0,35.40000153,40.59999847,58.90000153,64.90000153,6127771.5,7034167.5,0.0,527763.0,1800727.0,43270.4375,4327044.0,True,Error - Correct Default Data,242.36,1.4,"(47.54659, -122.2821)",False,0.00027000000000043656,-0.00011999999999545707
214,2016,SPS-District K-12,K-12 School,Boren Building,5950 Delridge Way S.W.,Seattle,WA,98106.0,3438501230,1,DELRIDGE,47.54862,-122.36214,1963,1.0,1,145341,0,145341,K-12 School,K-12 School,139069.0,,,75.0,39.5,45.59999847,69.5,77.19999695,5499097.0,6337972.0,0.0,546590.625,1864967.0,36341.29688,3634130.0,True,Error - Correct Default Data,206.01,1.42,,False,,
215,2016,NonResidential,Warehouse,Rainier Bottling Plant,5628 Airport Way South,Seattle,WA,98108.0,3466800065,2,GREATER DUWAMISH,47.55152,-122.31869,1904,1.0,4,114297,0,114297,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,114297.0,,,61.0,18.39999962,21.10000038,36.0,39.70000076,2100097.75,2415462.5,0.0,267431.0,912475.0,11876.22949,1187623.0,False,Compliant,69.44,0.61,"(47.55152, -122.31869)",True,0.0,0.0
216,2016,SPS-District K-12,K-12 School,Rainier Beach High,8815 Seward Park Ave S.,Seattle,WA,98118.0,3524049149,2,SOUTHEAST,47.52407,-122.26586,1960,1.0,2,184125,0,184125,K-12 School,K-12 School,184125.0,,,86.0,47.79999924,54.70000076,84.19999695,92.30000305,8800292.0,10067991.0,0.0,879209.3125,2999862.0,58004.30078,5800430.0,True,Error - Correct Default Data,328.97,1.79,"(47.52528, -122.26785)",False,0.0012100000000003774,-0.0019899999999921647
217,2016,SPS-District K-12,K-12 School,Whitman Middle,9201 15th Ave. NW.,Seattle,WA,98117.0,3526039131,6,BALLARD,47.69675,-122.3776,1959,1.0,1,160270,0,160270,K-12 School,K-12 School,160270.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43189.17188,4318917.0,False,Missing Data,229.38,1.43,"(47.69587, -122.3773)",False,-0.0008800000000022123,0.0002999999999957481
220,2016,NonResidential,Warehouse,8109,4786 First Ave S,Seattle,WA,98134.0,3573700006,2,GREATER DUWAMISH,47.55901,-122.33328,1937,1.0,1,234144,0,234144,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,234144.0,,,87.0,28.79999924,33.59999847,42.0,47.09999847,6744317.0,7874958.5,0.0,385937.0,1316817.0,54275.0,5427500.0,False,Compliant,297.43,1.27,,False,,
223,2016,NonResidential,Retail Store,Westwood Village - Building A,2600 SW Barton St,Seattle,WA,98126.0,3624039009,1,DELRIDGE,47.52254,-122.36627,1966,1.0,1,64984,0,64984,Retail Store,Retail Store,65425.0,,,72.0,45.0,46.09999847,130.6999969,130.6999969,2944296.25,3016373.5,0.0,766027.8125,2613687.0,3306.090088,330609.0,False,Compliant,35.78,0.55,"(47.52161, -122.36754)",False,-0.0009299999999967667,-0.0012700000000052114
224,2016,NonResidential,Retail Store,Westwood Village - Building B,2600 SW Barton St,Seattle,WA,98126.0,3624039009,1,DELRIDGE,47.52254,-122.36627,1965,1.0,1,67745,0,67745,Retail Store,Retail Store,67782.0,,,37.0,136.1999969,141.5,223.8999939,227.3000031,9230223.0,9589728.0,0.0,769080.3125,2624102.0,66061.21094,6606121.0,False,Compliant,369.14,5.45,"(47.52161, -122.36754)",False,-0.0009299999999967667,-0.0012700000000052114
225,2016,SPS-District K-12,K-12 School,Denny/Sealth Campus,2601 SW Kenyon / 2600 SW Thistle,Seattle,WA,98126.0,3624039032,1,DELRIDGE,47.52915,-122.36511,2010,1.0,2,367884,0,367884,K-12 School,K-12 School,367884.0,,,97.0,33.29999924,36.09999847,81.59999847,85.90000153,12265516.0,13279344.0,0.0,2404753.75,8205020.0,40604.95703,4060496.0,False,Compliant,272.85,0.74,,False,,
226,2016,SPS-District K-12,K-12 School,Roxhill Elementary,9430 30th Ave. S.W.,Seattle,WA,98126.0,3624039057,1,DELRIDGE,47.51778,-122.37074,1958,1.0,1,46797,0,46797,K-12 School,K-12 School,46797.0,,,86.0,44.40000153,50.90000153,82.19999695,91.5,2075891.0,2380144.5,0.0,233647.0938,797204.0,12786.87207,1278687.0,True,Error - Correct Default Data,73.47,1.57,"(47.60383, -122.33006)",False,0.08605000000000018,0.04067999999999472
227,2016,SPS-District K-12,K-12 School,Washington Middle,2101 S. Jackson,Seattle,WA,98144.0,3646100540,3,CENTRAL,47.59796,-122.30415,1963,1.0,3,136188,0,136188,K-12 School,K-12 School,136188.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32178.77344,3217877.0,False,Missing Data,170.9,1.25,"(47.59815, -122.30371)",False,0.00018999999999635975,0.0004400000000117643
228,2016,NonResidential,Other,Webster Building,3014 NW 67th St.,Seattle,WA,98117.0,3693901110,6,BALLARD,47.67767,-122.39631,1973,1.0,3,56000,0,56000,Other,Other,56000.0,,,,33.09999847,37.29999924,66.19999695,70.69999695,1851260.5,2088978.125,0.0,247615.5938,844864.0,10063.95996,1006396.0,False,Compliant,59.34,1.06,"(47.6777, -122.39649)",False,3.0000000002416982e-05,-0.00018000000000029104
229,2016,SPS-District K-12,K-12 School,Martin Luther King Jr. Elementary,6725 45th Ave S,Seattle,WA,98118.0,3812400550,2,SOUTHEAST,47.54174,-122.27691,2004,1.0,2,67371,0,67371,K-12 School,K-12 School,67371.0,,,92.0,31.60000038,33.59999847,78.0,80.09999847,2128459.0,2260359.75,0.0,423604.5938,1445339.0,6831.19873,683120.0,True,Error - Correct Default Data,46.36,0.69,"(47.54178, -122.27711)",False,4.000000000559112e-05,-0.00019999999999242846
230,2016,NonResidential,Self-Storage Facility,U-Haul Moving and Storage of West Seattle,6343 35th Ave SW,Seattle,WA,98126.0,3874900040,1,SOUTHWEST,47.54508,-122.37737,1969,1.0,2,52088,0,52088,Self-Storage Facility,Self-Storage Facility,52088.0,,,,26.39999962,30.29999924,48.79999924,53.70000076,1377519.5,1576122.875,0.0,153506.7031,523765.0,8537.545898,853755.0,False,Compliant,48.99,0.94,"(47.54507, -122.37735)",False,-9.999999996068709e-06,1.9999999992137418e-05
231,2016,SPS-District K-12,K-12 School,Hamilton International Middle,1610 N. 41st St.,Seattle,WA,98103.0,4083301505,4,LAKE UNION,47.65708,-122.33803,2010,1.0,3,127776,0,127776,K-12 School,K-12 School,127776.0,,,75.0,37.20000076,39.09999847,100.0,103.5,4748137.0,4998584.5,0.0,1093179.875,3729930.0,10182.06738,1018207.0,True,Error - Correct Default Data,80.08,0.63,"(47.65697, -122.33768)",False,-0.00010999999999938836,0.00034999999999740794
232,2016,NonResidential,Hotel,Silver Cloud Inn,1150 Fairview Ave N,Seattle,WA,98109.0,4088802955,3,LAKE UNION,47.62972,-122.32906,1998,1.0,5,123920,30000,93920,"Hotel, Parking, Swimming Pool",Hotel,123920.0,Parking,30000.0,79.0,75.59999847,78.09999847,148.1999969,152.1999969,9373179.0,9676783.0,0.0,1195550.25,4079217.0,52939.60938,5293961.0,False,Compliant,309.6,2.5,"(47.62974, -122.32908)",False,1.9999999999242846e-05,-2.0000000006348273e-05
233,2016,Nonresidential COS,Other,Armory Building,860 Terry Ave N,Seattle,WA,98109.0,4088803210,3,LAKE UNION,47.62759,-122.33661,1900,1.0,1,50000,0,50000,Museum,Museum,43000.0,,,,175.6000061,184.6999969,368.8999939,373.7000122,7548807.0,7942537.5,0.0,1113108.0,3797924.0,37508.82031,3750882.0,False,Compliant,225.69,4.51,"(47.62761, -122.33662)",False,1.9999999999242846e-05,-1.0000000003174137e-05
234,2016,Nonresidential COS,Warehouse,SCL Roy Street Warehouse,802 Roy St,Seattle,WA,98109.0,4088803530,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1926,1.0,2,50292,0,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,42345.0,Residence Hall/Dormitory,5000.0,,8.0,8.0,25.10000038,25.10000038,430473.6875,430473.6875,0.0,126164.6016,430474.0,0.0,0.0,False,Compliant,3.0,0.06,"(47.62561, -122.34075)",False,-0.0002999999999957481,9.000000000014552e-05
235,2016,NonResidential,Hotel,311jk-Seattle Downtown/Lake Union CY,925 Westlake Ave North,Seattle,WA,98109.0,4088803586,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1998,1.0,7,207656,54341,153315,Hotel,Hotel,141591.0,,,76.0,78.90000153,83.0,164.5,171.3999939,11171988.0,11754087.0,0.0,1620980.875,5530787.0,56412.00391,5641200.0,False,Compliant,338.16,1.63,"(47.62759, -122.34033)",False,-0.00023000000000195087,0.00012000000000966793
237,2016,SPS-District K-12,K-12 School,Whittier Elementary,1320 NW 75th St.,Seattle,WA,98117.0,4240400005,6,BALLARD,47.68359,-122.37308,1999,1.0,2,67235,0,67235,K-12 School,K-12 School,67235.0,,,89.0,34.0,36.29999924,84.30000305,86.80000305,2284133.75,2443194.0,0.0,458595.4063,1564728.0,7194.061523,719406.0,True,Error - Correct Default Data,49.12,0.73,"(47.68342, -122.37353)",False,-0.00017000000000422233,-0.0004500000000007276
238,2016,Nonresidential COS,Small- and Mid-Sized Office,North Service Center,1300 N 97th ST,Seattle,WA,98103.0,4310701070,5,NORTHWEST,47.70044,-122.34136,1957,1.0,2,91130,0,91130,"Data Center, Distribution Center, Office, Other, Parking",Office,57968.0,Distribution Center,32881.0,,100.5,106.0999985,262.7000122,272.2000122,9472358.0,10005492.0,0.0,2079127.75,7093984.0,23783.73047,2378373.0,False,Compliant,175.77,1.93,"(47.69973, -122.34108)",False,-0.00070999999999799,0.00027999999998939984
239,2016,SPS-District K-12,K-12 School,Gatewood Elementary,4320 SW Myrtle,Seattle,WA,98136.0,4315700020,1,SOUTHWEST,47.54025,-122.3885,1991,1.0,3,58118,0,58118,K-12 School,K-12 School,59014.0,,,97.0,23.79999924,25.70000076,66.09999847,69.59999847,1407277.25,1519074.75,0.0,339524.3125,1158457.0,2488.200928,248820.0,True,Error - Correct Default Data,21.29,0.37,"(47.54022, -122.3891)",False,-3.0000000002416982e-05,-0.0006000000000057071
241,2016,NonResidential,Hotel,Hotel Nexus,2140 N. Northgate Way,Seattle,WA,98133.0,4468400005,5,NORTHWEST,47.70916,-122.33216,1968,1.0,4,64893,0,64893,Hotel,Hotel,64893.0,,,70.0,95.5,95.69999695,184.6999969,185.3999939,6197825.0,6211749.5,0.0,768038.625,2620548.0,35772.76953,3577277.0,False,Compliant,208.26,3.21,"(47.70923, -122.3326)",False,7.000000000090267e-05,-0.00043999999999755346
242,2016,SPS-District K-12,K-12 School,Olympic View Elementary,504 N.E. 95th St.,Seattle,WA,98115.0,5100404840,5,NORTH,47.69823,-122.32126,1989,1.0,2,52792,0,52792,K-12 School,K-12 School,55480.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,Missing Data,0.0,0.0,"(47.60383, -122.33006)",False,-0.09440000000000026,-0.008800000000007913
243,2016,SPS-District K-12,K-12 School,Van Asselt Building - Old,7201 Beacon Ave. S.,Seattle,WA,98108.0,5129000050,2,GREATER DUWAMISH,47.53809,-122.29591,1925,1.0,1,70762,0,70762,K-12 School,K-12 School,70762.0,,,87.0,51.0,58.5,68.0,76.5,3606416.0,4138032.75,0.0,143935.0,491106.0,31153.0957,3115310.0,True,Error - Correct Default Data,168.88,2.39,"(47.53822, -122.29645)",False,0.00013000000000573664,-0.0005399999999866623
